time,sensor_1,sensor_2,sensor_3
0.0,1.0,-3.772212941926455e-62,9.412325796428487e-14
3.630560583333341e-05,1.0,-3.772212941926455e-62,9.412325796428487e-14
7.261121166666682e-05,0.9912797424645861,-4.409848444025104e-62,8.507180473460627e-14
0.00010891681750000023,0.9739014055308484,-5.751214001046618e-62,6.677490213881388e-14
0.00014522242333333364,0.9479888675942285,-7.933366600258676e-62,3.8844569822411954e-14
0.00018152802916666705,0.9137267832754264,-1.1174276019435652e-61,6.989561235972309e-16
0.00021783363500000046,0.8713592056256074,-1.5788282437362805e-61,-4.843734111004049e-14
0.00025413924083333387,0.8211877656268177,-2.220768545222738e-61,-1.0953256052913054e-13
0.0002904448466666673,0.7635694236040065,-3.101126634578546e-61,-1.8374642015960356e-13
0.0003267504525000007,0.6989138105976574,-4.296068331208961e-61,-2.7242780002001417e-13
0.0003630560583333341,0.6276801810219085,-5.904574839344041e-61,-3.7711107715360235e-13
0.0003993616641666675,0.5503740010238074,-8.053955014941419e-61,-4.995106520617446e-13
0.0004356672700000009,0.46754319983840703,-1.0906416035033774e-60,-6.415131279545328e-13
0.0004719728758333343,0.37977411407715544,-1.466671577462849e-60,-8.051665224836197e-13
0.0005082784816666677,0.2876871572711522,-1.959082757079009e-60,-9.926658055086196e-13
0.0005445840875000011,0.1919322490964526,-2.5995393300457764e-60,-1.2063339659207027e-12
0.0005808896933333346,0.09318404051847576,-3.4267495833512564e-60,-1.448597715709874e-12
0.000617195299166668,-0.007863027407736634,-4.487390826336077e-60,-1.721956840598841e-12
0.0006535009050000014,-0.11049979216671149,-5.836842190424314e-60,-2.0289461041642654e-12
0.0006898065108333348,-0.21400752607886162,-7.539504599570786e-60,-2.3720885071467284e-12
0.0007261121166666682,-0.31766313998988266,-9.668371257980034e-60,-2.7538385965989955e-12
0.0007624177225000016,-0.4207443939059117,-1.2303348075625587e-59,-3.1765144119202105e-12
0.000798723328333335,-0.5225350742918444,-1.552759438158104e-59,-3.642216548285744e-12
0.0008350289341666684,-0.6223300982494722,-1.942083743740321e-59,-4.152732714492335e-12
0.0008713345400000018,-0.7194405056195615,-2.4048180044219944e-59,-4.70942606418835e-12
0.0009076401458333352,-0.8131983011984875,-2.9442330432111047e-59,-5.313105489691123e-12
0.0009439457516666686,-0.9029611107136358,-3.557638789718951e-59,-5.9638759894400745e-12
0.000980251357500002,-0.9881166159480104,-4.232325251881538e-59,-6.6609671574614135e-12
0.0010165569633333355,-1.068086736426339,-4.939631149577172e-59,-7.402537800468473e-12
0.001052862569166669,-1.1423315273531893,-5.626418545776944e-59,-8.185454670448431e-12
0.0010891681750000023,-1.2103527660067523,-6.202986666376724e-59,-9.005043313503936e-12
0.0011254737808333356,-1.2716972015166652,-6.526138696664829e-59,-9.854809085732221e-12
0.001161779386666669,-1.3259594458654138,-6.375701916740706e-59,-1.072612648116424e-11
0.0011980849925000026,-1.37278448702386,-5.422269972529619e-59,-1.1607895063134396e-11
0.001234390598333336,-1.4118698083343948,-3.1832572786638005e-59,-1.2486160497561966e-11
0.0012706962041666692,-1.4429671015612309,1.036505121109191e-59,-1.3343699463937635e-11
0.0013070018100000027,-1.4658835644067916,8.224486036665173e-59,-1.4159567577548137e-11
0.0013433074158333363,-1.480482776715959,1.9766688985105374e-58,-1.4908609905639532e-11
0.0013796130216666696,-1.4866851530258947,3.758828507085028e-58,-1.5560934212565473e-11
0.0014159186275000029,-1.48446797253817,6.433857530382315e-58,-1.6081347736947702e-11
0.0014522242333333364,-1.4738649909624069,1.0363270231283981e-57,-1.6428759100591912e-11
0.00148852983916667,-1.454965641977667,1.6036551296740038e-57,-1.6555547888010125e-11
0.0015248354450000032,-1.427913839251547,2.4111649465678086e-57,-1.640690553100262e-11
